Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number
06/13/2015 09:09:00 AM,Hyundai,Silver,P858420,Illinois,1402.0,N,ASHLAND,AVE,1325,N,CLEAVER,,Other,15-02684225
06/13/2015 09:05:00 AM,Pontiac,Black,2931343,Illinois,2900.0,N,SB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Other,15-02683760
06/13/2015 09:00:00 AM,Toyota,Beige,NTW742Z,New Jersey,2901.0,N,LAKE SHORE,DR,350,E,LOWER WACKER,,Police,15-02684456
06/13/2015 08:55:00 AM,Nissan,Black,S978390,Illinois,1400.0,N,ASHLAND,AVE,1308,N,GREENVIEW,,Other,15-02684207
06/13/2015 08:26:00 AM,Chevrolet,Maroon,V172089,Illinois,4428.0,W,JACKSON,BLVD,4512,W,JACKSON,,Other,15-02682154
06/13/2015 08:25:00 AM,Volkswagen,Black,S960571,Illinois,2900.0,N,LAKE SHORE,DR,350,E,LOWER WACKER,,Police,15-02684372
06/13/2015 08:15:00 AM,Oldsmobile,Maroon,N489346,Illinois,4447.0,W,JACKSON,BLVD,4406,W,JACKSON,,Other,15-02682153
06/13/2015 08:08:00 AM,Ford,Gray,GAC7393,Ohio,4430.0,W,JACKSON,BLVD,4510,W,JACKSON,,Other,15-02682152
06/13/2015 08:00:00 AM,Ford,Blue,E310420,Illinois,4425.0,W,JACKSON,BLVD,4407,W,JACKSON,,Other,15-02682151
06/13/2015 06:30:00 AM,Volvo,Gray,R871740,Illinois,2329.0,S,GROVE,ST,2328,S,GROVE,,Accident,15-02688653
06/13/2015 05:30:00 AM,Hyundai,White,N600382,Illinois,334.0,W,MENOMONEE,ST,1200,N,LARABEE,,Police,15-02679555
06/13/2015 02:35:00 AM,Toyota,Gray,S327028,Illinois,2300.0,N,NB OUTER LAKE SHORE,DR,350,E,LOWER WACKER,,Other,15-02679158
06/13/2015 02:10:00 AM,Volkswagen,Gray,S283671,Illinois,800.0,N,NB OUTER LAKE SHORE,DR,1600,N,LAKESHORE DR,,Broken Down,15-02679155
06/13/2015 12:00:00 AM,,,,,334.0,W,MENOMONEE,ST,,,,,,15-02679556
06/12/2015 11:45:00 PM,Volkswagen,Gray,VFL309,Illinois,100.0,S,LAKE SHORE,DR,359,E,LOWER WACKER,,Accident,15-02655824
06/12/2015 10:00:00 PM,Chevrolet,Red,E159944,Illinois,300.0,S,LAKE SHORE,DR,1221,S,WABASH AVENUE,,Other,15-02676633
06/12/2015 09:30:00 PM,Nissan,Blue,C592180,Illinois,2000.0,N,NB OUTER LAKE SHORE,DR,1647,N,LA SALLE (BP GAS STATION),,Stalled,15-02676280
06/12/2015 08:10:00 PM,Chevrolet,Red,ECA9287,Ohio,5600.0,N,NB OUTER LAKE SHORE,DR,6141,N,BROADWAY,,Other,15-02674865
06/12/2015 06:58:00 PM,Audi,Black,E928469,Illinois,100.0,S,LAKE SHORE,DR,1221,S,WABASH AVENUE,,Other,15-02673374
06/12/2015 05:15:00 PM,Bmw,Silver,BFJ2248,Illinois,1800.0,S,LAKE SHORE,,1810,S,WABASH,,Broken Down,15-02673195
06/12/2015 04:50:00 PM,Honda,White,V837734,Illinois,2108.0,S,WOOD,ST,2115,S,WOOD,,Peoples Gas,15-02670695
06/12/2015 04:20:00 PM,Mercedes,Silver,CYNOA64,Michigan,2799.0,S,NB LSD OB STEVENSON,ER,1647,N,LA SALLE,,Stalled,15-02671032
06/12/2015 04:16:00 PM,Kia Motors Corp,Black,V474980,Illinois,2027.0,W,19TH,ST,1835,S,DAMEN,,Peoples Gas,15-02670586
06/12/2015 01:45:00 PM,Ford,Blue,4313592,Illinois,800.0,S,CLARK,ST,400,E,WACKER DRIVE LOWER LEVEL,,Accident,15-02666576
06/12/2015 12:58:00 PM,Ford,Black,N202001,Illinois,4359.0,S,BERKELEY,AVE,4415,S,BERKELEY,,CDOT 50/50 Sidewalk,15-02665802
06/12/2015 12:50:00 PM,Honda,Blue,V802657,Illinois,100.0,E,BALBO,DR,400,E,WACKER DRIVE LOWER LEVEL,,Accident,15-02665285
06/12/2015 12:45:00 PM,Dodge,Black,X416462,Illinois,2200.0,S,LAKE SHORE,DR,1800,S,LAKESHORE DR,,Broken Down,15-02665828
06/12/2015 12:45:00 PM,Dodge,Black,X416462,Illinois,2200.0,S,LAKE SHORE,DR,1800,S,LAKESHORE DR,,Broken Down,15-02665569
06/12/2015 12:35:00 PM,Bmw,Maroon,V737011,Illinois,1553.0,W,BERWYN,AVE,1742,W,BERWYN,,Other,15-02665074
06/12/2015 12:20:00 PM,Chevrolet,Gray,D266436,Illinois,1557.0,W,BERWYN,AVE,1716,W,BERWYN,,Other,15-02665073
06/12/2015 12:11:00 PM,Ford,Tan,N835906,Illinois,1535.0,W,WALTON,ST,939,N,GREENVIEW AVENUE,,Peoples Gas,15-02664698
06/12/2015 12:10:00 PM,Honda,Brown,N883193,Illinois,1556.0,W,BERWYN,AVE,1714,W,BERWYN,,Other,15-02665072
06/12/2015 12:05:00 PM,Pontiac,Gold,163S762,Illinois,1215.0,W,59TH,ST,5845,S,MAY,,Accident,15-02664859
06/12/2015 12:00:00 PM,Honda,Tan,E531492,Illinois,1813.0,W,NEWPORT,AVE,3434,N,RAVENSWOOD,,CDOT Street Resurfacing,15-02664521
06/12/2015 11:59:00 AM,Ford,White,V241758,Illinois,1216.0,W,59TH,ST,5859,S,MAY,,Accident,15-02664858
